county,ward,total,Screnock,Dallet,SCATTERING
,"City of SHEBOYGAN FALLS Wards 1-2,9",852,439,412,1
,City of SHEBOYGAN FALLS Wards 3-5,665,301,364,0
,City of SHEBOYGAN FALLS Wards 6-8,615,301,311,3
,County Totals:,"21,733","11,919","9,792",22
TAYLOR ,Town of AURORA Ward 1,79,50,29,0
,Town of BROWNING Ward 1,106,71,35,0
,Town of CHELSEA Ward 1,106,78,28,0
,Town of CLEVELAND Ward 1,56,46,10,0
,Town of DEER CREEK Ward 1,90,69,21,0
,Town of FORD Ward 1,56,38,18,0
,Town of GOODRICH Ward 1,87,63,24,0
,Town of GREENWOOD Ward 1,75,44,31,0
,Town of GROVER Ward 1,29,21,8,0
,Town of HAMMEL Ward 1,72,45,27,0
,Town of HAMMEL Ward 2,37,26,11,0
,Town of HOLWAY Ward 1,57,40,17,0
,Town of JUMP RIVER Ward 1,57,23,34,0
,Town of LITTLE BLACK Ward 1-2,149,91,58,0
,Town of MAPLEHURST Ward 1,47,29,18,0
,Town of MCKINLEY Ward 1,59,43,16,0
,Town of MEDFORD Ward 1,186,118,68,0
,Town of MEDFORD Ward 2,84,57,27,0
,Town of MEDFORD Ward 3,100,64,36,0
,Town of MOLITOR Ward 1,68,38,30,0
,Town of PERSHING Ward 1,27,11,16,0
,Town of RIB LAKE Ward 1,40,18,22,0
,Town of RIB LAKE Ward 2,79,57,21,1
,Town of ROOSEVELT Ward 1,64,37,27,0
,Town of TAFT Ward 1,57,34,23,0
,Town of WESTBORO Ward 1,100,78,22,0
,Village of GILMAN Ward 1,92,43,49,0
,Village of LUBLIN Ward 1,21,13,8,0
,Village of RIB LAKE Ward 1,119,70,49,0
,Village of STETSONVILLE Ward 1,70,37,33,0
,City of MEDFORD Wards 1-2,166,77,89,0
,City of MEDFORD Wards 3-4,129,65,64,0
,City of MEDFORD Wards 5-6,128,66,62,0
,City of MEDFORD Wards 7-8,108,49,59,0
,County Totals:,"2,800","1,709","1,090",1
TREMPEALEAU ,Town of ALBION Ward 1-2,153,61,91,1
,Town of ARCADIA Wards 1-4,537,281,256,0
,Town of BURNSIDE Wards 1-2,54,22,32,0
,Town of CALEDONIA Wards 1-2,106,61,45,0
,Town of CHIMNEY ROCK Ward 1,54,25,29,0
,Town of DODGE Ward 1,96,37,59,0
,Town of ETTRICK Wards 1-2,193,63,130,0
,Town of GALE Wards 1-3,291,152,139,0
,Town of HALE Ward 1,167,73,94,0
,Town of LINCOLN Wards 1-2,73,29,44,0
,Town of PIGEON Wards 1-2,80,35,45,0
,Town of PRESTON Wards 1-3,131,57,72,2
,Town of SUMNER Ward 1,110,54,56,0
,Town of TREMPEALEAU Ward 1-2,293,105,188,0
,Town of UNITY Wards 1-2,125,57,68,0
,Village of ELEVA Ward 1,137,60,77,0
,Village of ETTRICK Ward 1,76,27,49,0
,Village of PIGEON FALLS Ward 1,64,23,41,0
,Village of STRUM Wards 1-2,222,92,129,1
,Village of TREMPEALEAU Wards 1-2,253,113,139,1
,City of ARCADIA Wards 1-3,317,151,165,1
,City of BLAIR Wards 1-3,148,47,101,0
,City of GALESVILLE Ward 1-3,312,132,180,0
,City of INDEPENDENCE Wards 1-3,131,53,78,0
,City of OSSEO Wards 1-3,192,86,106,0
,City of WHITEHALL Wards 1-3,210,78,132,0
,County Totals:,"4,525","1,974","2,545",6
VERNON ,Town of BERGEN Wards 1-3,233,101,132,0
,Town of CHRISTIANA Ward 1-2,238,109,129,0
,Town of CLINTON Ward 1-2,97,46,51,0
,Town of COON Ward 1-2,223,82,141,0
,Town of FOREST Ward 1,82,49,33,0
,Town of FRANKLIN Ward 1-2,196,109,87,0
,Town of GENOA Ward 1-2,102,37,65,0
,Town of GREENWOOD Ward 1,82,41,41,0
,Town of HAMBURG Ward 1-2,233,111,122,0
,Town of HARMONY Ward 1-3,133,64,69,0
,Town of HILLSBORO Ward 1-3,97,66,31,0
,Town of JEFFERSON Wards 1-4,222,99,123,0
,Town of KICKAPOO Ward 1,92,39,53,0
,Town of LIBERTY Ward 1,73,27,46,0
,Town of STARK Ward 1-2,75,28,47,0
,Town of STERLING Ward 1,116,75,41,0
,Town of UNION Ward 1-3,82,34,48,0
,Town of VIROQUA Ward 1-4,402,175,227,0
,Town of WEBSTER Ward 1-2,109,27,82,0
,Town of WHEATLAND Ward 1,87,41,46,0
,Town of WHITESTOWN Ward 1,94,48,46,0
,Village of CHASEBURG Ward 1,58,28,30,0
,Village of COON VALLEY Ward 1,227,109,118,0
,Village of DE SOTO Ward 1,32,21,11,0
,Village of GENOA Ward 1,60,25,35,0
,Village of LA FARGE Ward 1,100,31,69,0
,Village of ONTARIO Ward 1,62,39,23,0
,Village of READSTOWN Ward 1,63,28,35,0
,Village of STODDARD Ward 1,122,45,77,0
,VILLAGE OF VIOLA Ward 1,49,30,19,0
,City of HILLSBORO Ward 1-4,140,66,74,0
,City of VIROQUA Wards 1-9,"1,316",469,845,2
,City of WESTBY Ward 1-5,501,190,311,0
,County Totals:,"5,798","2,489","3,307",2
VILAS ,Town of ARBOR VITAE Wards 1-7,656,352,304,0
,Town of BOULDER JUNCTION Wards 1-2,219,104,115,0
,Town of CLOVERLAND Wards 1-2,219,121,98,0
,Town of CONOVER Wards 1-2,249,142,107,0
,Town of LAC DU FLAMBEAU Wards 1-7,412,145,264,3
,Town of LAND O-LAKES Ward 1,204,115,89,0
,Town of LINCOLN Wards 1-5,453,250,203,0
,Town of MANITOWISH WATERS Ward 1,170,110,60,0
,Town of PHELPS Wards 1-2,425,263,162,0
,Town of PLUM LAKE Wards 1-2,135,87,48,0
,Town of PRESQUE ISLE Ward 1,226,112,114,0
,Town of ST. GERMAIN Wards 1-2,565,316,248,1
,Town of WASHINGTON Wards 1-3,293,142,151,0
,Town of WINCHESTER Ward 1,119,67,52,0
,City of EAGLE RIVER Wards 1-5,192,100,92,0
,County Totals:,"4,537","2,426","2,107",4
WALWORTH ,Town of BLOOMFIELD Ward 1-2,193,98,95,0
,Town of DARIEN Wards 1-3,448,274,174,0
,Town of DELAVAN Ward 1-11,"1,199",654,543,2
,Town of EAST TROY Wards 1-6,923,631,292,0
,Town of GENEVA Wards 1-8,738,421,316,1
,Town of LAFAYETTE Wards 1-3,459,315,144,0
,Town of LA GRANGE Ward 1-3,435,250,185,0
,"Town of LINN Wards 1-4,6",294,162,132,0
,Town of LINN Ward 5,81,42,39,0
,Town of LYONS Wards 1-7,535,331,203,1
,Town of RICHMOND Wards 1-3,374,197,176,1
,Town of SHARON Ward 1,165,98,67,0
,Town of SPRING PRAIRIE Ward 1-4,510,363,146,1
,Town of SUGAR CREEK Ward 1-5,692,397,294,1
,Town of TROY Wards 1-3,585,375,210,0
,Town of WALWORTH Ward 1-3,285,185,100,0
,Town of WHITEWATER Wards 1-3,336,163,171,2
,Village of BLOOMFIELD Ward 1-5,519,301,218,0
,Village of DARIEN Ward 1-2,304,154,150,0
,Village of EAST TROY Ward 1-5,849,503,346,0
,Village of FONTANA Ward 1-3,302,142,159,1
,Village of GENOA CITY Wards 1-4,220,112,107,1
,VILLAGE OF MUKWONAGO Ward 11,25,14,11,0
,Village of SHARON Ward 1-2,148,78,70,0
,Village of WALWORTH Ward 1-3,491,244,245,2
,Village of WILLIAMS BAY Wards 1-4,453,220,232,1
,CITY OF BURLINGTON Ward 9,0,0,0,0
,CITY OF BURLINGTON Ward 10,0,0,0,0
,"City of DELAVAN Wards 1-5,15-16",486,236,250,0
,City of DELAVAN Wards 6-10,514,256,258,0
,City of DELAVAN Wards 11-14,532,256,276,0
,"City of ELKHORN Wards 1,5,7",609,333,275,1
,City of ELKHORN Ward 2,115,54,61,0
,City of ELKHORN Ward 3,131,65,66,0
,"City of ELKHORN Wards 4,8",294,148,145,1
,City of ELKHORN Ward 6,265,137,127,1
,City of LAKE GENEVA Wards 1-2,409,176,233,0
,City of LAKE GENEVA Wards 3-4,277,140,136,1
,"City of LAKE GENEVA Wards 5-6,10",370,200,169,1
,"City of LAKE GENEVA Wards 7-9,11-14",346,159,186,1
,"City of WHITEWATER Wards 1-2,7-8,13",432,160,271,1
,"City of WHITEWATER Wards 3-4,9",306,61,243,2
,City of WHITEWATER Wards 5-6,486,152,334,0
,County Totals:,"17,135","9,257","7,855",23
WASHBURN ,Town of BARRONETT Ward 1,137,78,59,0
,Town of BASHAW Wards 1-3,299,175,124,0
,Town of BASS LAKE Ward 1,69,38,31,0
,Town of BEAVER BROOK Wards 1-3,149,83,66,0
,Town of BIRCHWOOD Wards 1-3,102,73,29,0
,Town of BROOKLYN Ward 1,57,34,23,0
,Town of CASEY Ward 1,82,37,45,0
,Town of CHICOG Wards 1-2,47,19,28,0
,Town of CRYSTAL Wards 1-2,52,32,20,0
,Town of EVERGREEN Wards 1-2,189,94,95,0
,Town of FROG CREEK Ward 1,32,19,13,0
,Town of GULL LAKE Ward 1,32,14,18,0
,Town of LONG LAKE Ward 1,126,61,65,0
,Town of MADGE Wards 1-3,111,43,68,0
,Town of MINONG Wards 1-2,154,85,69,0
,Town of SARONA Wards 1-2,89,68,21,0
,Town of SPOONER Wards 1-3,114,65,49,0
,Town of SPRINGBROOK Ward 1,78,47,31,0
,Town of STINNETT Ward 1,37,27,10,0
,Town of STONE LAKE Ward 1,60,23,37,0
,Town of TREGO Wards 1-2,168,86,82,0
,Village of BIRCHWOOD Ward 1,57,34,23,0
,Village of MINONG Ward 1,63,39,24,0
,City of SPOONER Wards 1-6,279,132,146,1
,City of SHELL LAKE Wards 1-2,383,176,206,1
,County Totals:,"2,966","1,582","1,382",2
WASHINGTON ,Town of ADDISON Ward 1-6,688,512,176,0
,Town of BARTON Wards 1-4,750,524,226,0
,Town of ERIN Wards 1-4,"1,113",838,275,0
,Town of FARMINGTON Ward 1-5,880,679,201,0
,Town of GERMANTOWN Ward 1,68,43,25,0
,Town of HARTFORD Ward 1-5,857,632,225,0
,Town of JACKSON Ward 1-6,"1,181",929,252,0
,Town of KEWASKUM Ward 1-2,307,225,82,0
,Town of POLK Ward 1-6,934,727,207,0
,Town of TRENTON Wards 1-8,"1,152",849,303,0
,Town of WAYNE Wards 1-3,507,375,132,0
,Town of WEST BEND Wards 1-8,"1,279",898,381,0
,"Village of GERMANTOWN Wards 1,8,10-11","1,103",810,293,0
,"Village of GERMANTOWN Wards 2,5-7",921,576,345,0
,"Village of GERMANTOWN Wards 3-4,9,16-17","1,033",692,341,0
,Village of GERMANTOWN Wards 12-15,"1,177",826,351,0
,Village of JACKSON Wards 1-10,"1,382",967,415,0
,"Village of KEWASKUM Ward 1-5,7",807,530,277,0
,Village of NEWBURG Ward 1-2,231,176,55,0
,Village of RICHFIELD Ward 1-2,746,579,167,0
,Village of RICHFIELD Ward 3-4,632,466,166,0
,Village of RICHFIELD Ward 5-6,871,682,189,0
,Village of RICHFIELD Ward 7-9,861,632,229,0
,Village of SLINGER Wards 1-9,899,650,249,0
,"City of HARTFORD Wards 1-5,31-32",746,501,245,0
,"City of HARTFORD Wards 6-10,15-17,20,23-25,28",638,402,236,0
,"City of HARTFORD Wards 11-14,21-22,26-27,29-30",893,570,323,0
,CITY OF MILWAUKEE Ward 318,0,0,0,0
,City of WEST BEND Wards 1-3,667,387,280,0
,City of WEST BEND Wards 4-6,873,479,394,0
,City of WEST BEND Wards 7-8,"1,017",645,372,0
,"City of WEST BEND Wards 9-10,30-32",690,419,271,0
,"City of WEST BEND Wards 11-14,28-29",593,354,239,0
,"City of WEST BEND Wards 15-19,25,27",697,418,279,0
,City of WEST BEND Wards 20-22,578,350,228,0
,"City of WEST BEND Wards 23-24,26,33",976,583,393,0
,County Totals:,"28,747","19,925","8,822",0
WAUKESHA ,Town of BROOKFIELD Ward 1,220,127,93,0
,"Town of BROOKFIELD Wards 2,5-8",874,524,350,0
,Town of BROOKFIELD Wards 3-4,303,205,98,0
,Town of BROOKFIELD Wards 9-10,249,155,94,0
,"Town of DELAFIELD Wards 1-2,5-6",765,559,205,1
,Town of DELAFIELD Wards 3-4,475,365,109,1
,Town of DELAFIELD Wards 7-8,367,272,95,0
,Town of DELAFIELD Wards 9-11,580,369,211,0
,Town of EAGLE Wards 1-4,944,651,293,0
,"Town of GENESEE Wards 1,6,9",633,432,201,0
,"Town of GENESEE Wards 2,5",316,236,80,0
,"Town of GENESEE Wards 3,10",330,222,108,0
,"Town of GENESEE Wards 4,7-8",682,489,192,1
,Town of LISBON Ward 1,446,312,132,2
,Town of LISBON Wards 2-3,790,578,212,0
,Town of LISBON Wards 4-5,863,612,251,0
,Town of LISBON Ward 6,371,266,104,1
,"Town of MERTON Ward 1-3,7-9","1,422","1,073",349,0
,"Town of MERTON Ward 4-6,10-11",719,519,200,0
,"Town of MUKWONAGO Wards 1,4-8","1,069",796,273,0
,Town of MUKWONAGO Wards 2-3,359,268,91,0
,Town of MUKWONAGO Wards 9-11,482,341,141,0
,"Town of OCONOMOWOC Ward 1-2,4",782,587,194,1
,"Town of OCONOMOWOC Ward 3,6-7",688,456,231,1
,"Town of OCONOMOWOC Ward 5,8-10",718,512,205,1
,Town of OTTAWA Wards 1-5,"1,041",676,365,0
,"Town of VERNON Wards 1,8-11",889,636,253,0
,"Town of VERNON Wards 2,4-5",644,480,164,0
,"Town of VERNON Wards 3,6-7",481,346,135,0
,"Town of WAUKESHA Wards 1-6,8","1,448",957,490,1
,"Town of WAUKESHA Wards 7,9-12",782,556,226,0
,Village of BIG BEND Wards 1-3,401,267,134,0
,Village of BIG BEND Ward 4,0,0,0,0
,Village of BUTLER Wards 1-3,339,210,129,0
,Village of CHENEQUA Ward 1,179,141,37,1
,Village of DOUSMAN Wards 1-3,458,306,152,0
,Village of DOUSMAN Ward 4,0,0,0,0
,Village of DOUSMAN Ward 5,0,0,0,0
,Village of EAGLE Wards 1-2,413,305,107,1
,Village of ELM GROVE Wards 1-4,923,572,351,0
,Village of ELM GROVE Wards 5-8,938,522,415,1
,Village of HARTLAND Wards 1-6,923,561,362,0
,Village of HARTLAND Wards 7-12,842,554,288,0
,Village of HARTLAND Ward 13,9,4,5,0
,Village of HARTLAND Ward 14,3,3,0,0
,Village of LAC LA BELLE Ward 1,105,73,32,0
,Village of LANNON Wards 1-2,294,187,107,0
,Village of MENOMONEE FALLS Ward 1,602,369,231,2
,Village of MENOMONEE FALLS Ward 2,348,206,142,0
,Village of MENOMONEE FALLS Ward 3,463,287,176,0
,Village of MENOMONEE FALLS Ward 4,191,122,69,0
,Village of MENOMONEE FALLS Ward 5,299,181,118,0
,Village of MENOMONEE FALLS Ward 6,370,194,175,1
,Village of MENOMONEE FALLS Ward 7,201,133,68,0
,Village of MENOMONEE FALLS Ward 8,283,171,112,0
,Village of MENOMONEE FALLS Ward 9,292,166,125,1
,Village of MENOMONEE FALLS Ward 10,334,216,118,0
,Village of MENOMONEE FALLS Ward 11,287,163,124,0
,Village of MENOMONEE FALLS Ward 12,248,136,112,0
,Village of MENOMONEE FALLS Ward 13,498,315,183,0
,Village of MENOMONEE FALLS Ward 14,571,348,222,1
,Village of MENOMONEE FALLS Ward 15,555,341,214,0
,Village of MENOMONEE FALLS Ward 16,275,174,100,1
,Village of MENOMONEE FALLS Ward 17,494,340,154,0
,Village of MENOMONEE FALLS Ward 18,371,241,130,0
,Village of MENOMONEE FALLS Ward 19,508,326,182,0
,Village of MENOMONEE FALLS Ward 20,406,252,154,0
,Village of MENOMONEE FALLS Ward 21,415,285,130,0
,Village of MENOMONEE FALLS Ward 22,234,148,85,1
,Village of MENOMONEE FALLS Ward 23,398,274,124,0
,Village of MERTON Wards 1-5,739,580,159,0
,"Village of MUKWONAGO Wards 1-10,12","1,286",839,446,1
,Village of NASHOTAH Wards 1-2,416,286,130,0
,Village of NASHOTAH Ward 3,0,0,0,0
,Village of NORTH PRAIRIE Ward 1-3,532,372,159,1
,Village of OCONOMOWOC LAKE Ward 1,154,118,36,0
,Village of PEWAUKEE Ward 1-5,893,605,287,1
,Village of PEWAUKEE Ward 6-10,628,363,264,1
,Village of SUMMIT Ward 1-6,"1,205",805,400,0
,"Village of SUSSEX Wards 1-3,9-10",879,565,314,0
,Village of SUSSEX Wards 4-7,"1,128",756,371,1
,Village of SUSSEX Ward 8,45,22,23,0
,Village of WALES Wards 1-4,702,436,266,0
,Village of WALES Ward 5,3,3,0,0
,City of BROOKFIELD Ward 1,540,324,214,2
,City of BROOKFIELD Ward 2,549,324,225,0
,City of BROOKFIELD Ward 3,553,359,191,3
,City of BROOKFIELD Ward 4,258,179,79,0
,City of BROOKFIELD Ward 5,566,399,165,2
,City of BROOKFIELD Ward 6,325,230,94,1
,City of BROOKFIELD Ward 7,379,217,161,1
,City of BROOKFIELD Ward 8,505,293,212,0
,City of BROOKFIELD Ward 9,435,292,143,0
,City of BROOKFIELD Ward 10,440,277,163,0
,City of BROOKFIELD Ward 11,327,180,147,0
,City of BROOKFIELD Ward 12,548,365,183,0
,City of BROOKFIELD Ward 13,472,308,164,0
,City of BROOKFIELD Ward 14,295,198,97,0
,City of BROOKFIELD Ward 15,409,270,138,1
,City of BROOKFIELD Ward 16,198,144,53,1
,City of BROOKFIELD Ward 17,443,282,161,0
,City of BROOKFIELD Ward 18,337,218,119,0
,City of BROOKFIELD Ward 19,330,214,116,0
,City of BROOKFIELD Ward 20,407,275,132,0
,City of BROOKFIELD Ward 21,331,199,131,1
,City of BROOKFIELD Ward 22,416,258,158,0
,City of BROOKFIELD Ward 23,379,240,139,0
,City of BROOKFIELD Ward 24,542,315,227,0
,City of BROOKFIELD Ward 25,0,0,0,0
,"City of DELAFIELD Wards 1-4,7-8,11-14","1,385",854,531,0
,"City of DELAFIELD Wards 5-6,9-10",467,276,190,1
,CITY OF MILWAUKEE Ward 319,0,0,0,0
,City of MUSKEGO Ward 1-3,"1,032",672,357,3
,City of MUSKEGO Ward 4-5,717,465,252,0
,"City of MUSKEGO Ward 6,8",633,421,212,0
,City of MUSKEGO Ward 7,233,152,81,0
,City of MUSKEGO Ward 9-10,715,460,254,1
,City of MUSKEGO Ward 11-12,810,579,231,0
,City of MUSKEGO Ward 13,284,196,88,0
,City of MUSKEGO Ward 14,466,334,132,0
,City of MUSKEGO Ward 15-16,785,536,249,0
,City of NEW BERLIN Ward 1,479,284,195,0
,City of NEW BERLIN Ward 2,337,231,106,0
,City of NEW BERLIN Ward 3,516,320,196,0
,City of NEW BERLIN Ward 4,412,248,164,0
,City of NEW BERLIN Ward 5,636,403,233,0
,City of NEW BERLIN Ward 6,141,68,73,0
,City of NEW BERLIN Ward 7,48,34,14,0
,City of NEW BERLIN Ward 8,515,310,205,0
,City of NEW BERLIN Ward 9,375,209,166,0
,City of NEW BERLIN Ward 10,109,75,34,0
,City of NEW BERLIN Ward 11,232,165,67,0
,City of NEW BERLIN Ward 12,66,44,22,0
,City of NEW BERLIN Ward 13,76,49,27,0
,City of NEW BERLIN Ward 14,3,3,0,0
,City of NEW BERLIN Ward 15,409,264,145,0
,City of NEW BERLIN Ward 16,507,343,164,0
,City of NEW BERLIN Ward 17,76,40,36,0
,City of NEW BERLIN Ward 18,725,435,288,2
,City of NEW BERLIN Ward 19,66,39,27,0
,City of NEW BERLIN Ward 20,116,84,32,0
,City of NEW BERLIN Ward 21,476,299,177,0
,City of NEW BERLIN Ward 22,514,306,208,0
,City of NEW BERLIN Ward 23,390,252,138,0
,City of NEW BERLIN Ward 24,698,445,253,0
,City of NEW BERLIN Ward 25,315,209,105,1
,City of NEW BERLIN Ward 26,482,365,117,0
,City of NEW BERLIN Ward 27,683,450,232,1
,City of OCONOMOWOC Wards 1-3,"1,185",666,519,0
,City of OCONOMOWOC Wards 4-6,938,575,361,2
,City of OCONOMOWOC Wards 7-9,824,493,331,0
,City of OCONOMOWOC Wards 10-12,800,480,320,0
,City of OCONOMOWOC Wards 13-14,1,1,0,0
,City of PEWAUKEE Wards 1-2,843,598,244,1
,City of PEWAUKEE Wards 3-4,378,268,110,0
,City of PEWAUKEE Wards 5-7,"1,126",735,390,1
,City of PEWAUKEE Ward 8,439,271,168,0
,City of PEWAUKEE Wards 9-10,673,473,199,1
,City of WAUKESHA Ward 1,314,189,125,0
,City of WAUKESHA Ward 2,376,208,168,0
,City of WAUKESHA Ward 3,106,62,44,0
,City of WAUKESHA Ward 4,144,76,67,1
,City of WAUKESHA Ward 5,230,98,132,0
,City of WAUKESHA Ward 6,202,91,111,0
,City of WAUKESHA Ward 7,155,77,78,0
,City of WAUKESHA Ward 8,60,27,33,0
,City of WAUKESHA Ward 9,444,249,194,1
,City of WAUKESHA Ward 10,154,87,67,0
,City of WAUKESHA Ward 11,117,59,58,0
,City of WAUKESHA Ward 12,452,288,164,0
,City of WAUKESHA Ward 13,365,225,140,0
,City of WAUKESHA Ward 14,251,148,103,0
,City of WAUKESHA Ward 15,166,87,78,1
,City of WAUKESHA Ward 16,124,71,53,0
,City of WAUKESHA Ward 17,569,337,232,0
,City of WAUKESHA Ward 18,305,116,189,0
,City of WAUKESHA Ward 19,421,197,224,0
,City of WAUKESHA Ward 20,452,276,175,1
,City of WAUKESHA Ward 21,349,204,145,0
,City of WAUKESHA Ward 22,360,174,186,0
,City of WAUKESHA Ward 23,410,209,201,0
,City of WAUKESHA Ward 24,188,105,83,0
,City of WAUKESHA Ward 25,159,72,87,0
,City of WAUKESHA Ward 26,149,56,93,0
,City of WAUKESHA Ward 27,9,1,8,0
,City of WAUKESHA Ward 28,129,58,71,0
,City of WAUKESHA Ward 29,114,57,57,0
,City of WAUKESHA Ward 30,452,259,193,0
,City of WAUKESHA Ward 31,458,271,187,0
,City of WAUKESHA Ward 32,524,281,243,0
,City of WAUKESHA Ward 33,399,232,167,0
,City of WAUKESHA Ward 34,102,57,45,0
,City of WAUKESHA Ward 35,525,315,210,0
,City of WAUKESHA Ward 36,681,416,264,1
,City of WAUKESHA Ward 37,235,137,97,1
,City of WAUKESHA Ward 38,419,215,204,0
,City of WAUKESHA Ward 39,0,0,0,0
,City of WAUKESHA Ward 40,0,0,0,0
,City of WAUKESHA Ward 41,0,0,0,0
,City of WAUKESHA Ward 42,0,0,0,0
,City of WAUKESHA Ward 43,0,0,0,0
,City of WAUKESHA Ward 44,0,0,0,0
,City of WAUKESHA Ward 45,0,0,0,0
,City of WAUKESHA Ward 46,0,0,0,0
,City of WAUKESHA Ward 47,0,0,0,0
,City of WAUKESHA Ward 48,0,0,0,0
,City of WAUKESHA Ward 49,0,0,0,0
,County Totals:,"89,001","57,346","31,598",57
WAUPACA ,Town of BEAR CREEK Ward 1,92,64,28,0
,Town of CALEDONIA Wards 1-2,346,199,147,0
,Town of DAYTON Wards 1-4,440,230,210,0
,Town of DUPONT Wards 1-2,61,46,15,0
,Town of FARMINGTON Wards 1-6,545,260,285,0
,Town of FREMONT Wards 1-2,123,81,42,0
,Town of HARRISON Ward 1,81,46,35,0
,Town of HELVETIA Wards 1-2,115,65,50,0
,Town of IOLA Wards 1-2,239,142,97,0
,Town of LARRABEE Wards 1-2,185,108,77,0
,Town of LEBANON Wards 1-3,287,154,133,0
,Town of LIND Wards 1-3,185,114,71,0
,Town of LITTLE WOLF Wards 1-3,167,106,61,0
,Town of MATTESON Ward 1,163,113,50,0
,Town of MUKWA Wards 1-2,169,84,85,0
,Town of MUKWA Wards 3-5,399,207,192,0
,Town of ROYALTON Wards 1-2,182,119,63,0
,Town of SAINT LAWRENCE Wards 1-2,109,57,52,0
,Town of SCANDINAVIA Wards 1-2,247,120,127,0
,Town of UNION Wards 1-2,72,38,34,0
,Town of WAUPACA Wards 1-2,178,85,93,0
,Town of WEYAUWEGA Ward 1,79,48,31,0
,Town of WYOMING Ward 1,55,33,22,0
,Village of BIG FALLS Ward 1,15,8,7,0
,Village of EMBARRASS Ward 1,60,32,28,0
,Village of FREMONT Ward 1,151,101,50,0
,Village of IOLA Wards 1-2,241,121,120,0
,Village of OGDENSBURG Ward 1,18,10,8,0
,Village of SCANDINAVIA Ward 1,69,34,35,0
,City of CLINTONVILLE Ward 1,60,26,34,0
,City of CLINTONVILLE Ward 2,63,32,31,0
,City of CLINTONVILLE Ward 3,104,62,42,0
,City of CLINTONVILLE Ward 4,52,31,21,0
,City of CLINTONVILLE Ward 5,118,55,62,1
,City of CLINTONVILLE Wards 6-7,142,75,67,0
,City of CLINTONVILLE Ward 8,1,1,0,0
,City of CLINTONVILLE Ward 9,0,0,0,0
,City of CLINTONVILLE Ward 10,0,0,0,0
,City of MANAWA Wards 1-3,100,60,40,0
,City of MARION Wards 1-3,100,48,52,0
,"City of NEW LONDON Wards 3-4,8",228,105,122,1
,City of NEW LONDON Wards 6-7,213,94,119,0
,City of NEW LONDON Wards 9-10,181,65,116,0
,City of NEW LONDON Wards 11-12,95,38,57,0
,City of WAUPACA Ward 1,79,25,54,0
,"City of WAUPACA Wards 2,7,11",92,37,55,0
,City of WAUPACA Ward 3,43,11,32,0
,City of WAUPACA Ward 4,94,47,47,0
,"City of WAUPACA Wards 5,10",179,69,110,0
,City of WAUPACA Ward 6,62,17,45,0
,City of WAUPACA Ward 8,87,39,48,0
,City of WAUPACA Ward 9,41,15,26,0
,City of WAUPACA Ward 12,0,0,0,0
,City of WEYAUWEGA Wards 1-3,134,65,68,1
,County Totals:,"7,341","3,842","3,496",3
WAUSHARA ,Town of AURORA Ward 1,158,96,62,0
,Town of BLOOMFIELD Ward 1-2,166,105,61,0
,Town of COLOMA Ward 1,124,60,64,0
,Town of DAKOTA Ward 1-2,202,127,75,0
,Town of DEERFIELD Ward 1,143,79,64,0
,Town of HANCOCK Ward 1,93,55,37,1
,Town of LEON Ward 1-3,248,158,90,0
,Town of MARION Wards 1-4,384,217,167,0
,Town of MOUNT MORRIS Ward 1-2,248,121,127,0
,Town of OASIS Ward 1,97,59,38,0
,Town of PLAINFIELD Ward 1,68,45,23,0
,Town of POY SIPPI Ward 1,111,84,27,0
,Town of RICHFORD Ward 1-2,99,72,27,0
,Town of ROSE Ward 1-2,131,75,56,0
,Town of SAXEVILLE Ward 1,212,109,103,0
,Town of SPRINGWATER Ward 1-2,277,157,120,0
,Town of WARREN Ward 1,100,64,36,0
,Town of WAUTOMA Ward 1-3,243,135,108,0
,Village of COLOMA Ward 1,74,49,25,0
,Village of HANCOCK Ward 1,55,32,23,0
,Village of LOHRVILLE Ward 1,54,24,30,0
,Village of PLAINFIELD Ward 1,100,52,48,0
,Village of REDGRANITE Ward 1-3,81,44,37,0
,Village of WILD ROSE Ward 1,128,58,70,0
,CITY OF BERLIN Ward 7,7,4,3,0
,City of WAUTOMA Wards 1-3,213,116,97,0
,County Totals:,"3,816","2,197","1,618",1
WINNEBAGO ,"Town of ALGOMA Wards 1-2,7-10",621,311,310,0
,Town of ALGOMA Wards 3-6,678,324,354,0
,Town of BLACK WOLF Wards 1-3,507,254,253,0
,Town of CLAYTON Ward 1-7,662,375,286,1
,Town of NEENAH Wards 1-4,643,320,322,1
,Town of NEKIMI Wards 1-2,224,136,87,1
,Town of NEPEUSKUN Ward 1,148,88,60,0
,Town of OMRO Wards 1-3,372,195,176,1
,Town of OSHKOSH Wards 1-5,552,282,270,0
,Town of POYGAN Ward 1-2,243,146,96,1
,Town of RUSHFORD Ward 1-2,252,135,117,0
,Town of UTICA Ward 1-2,244,117,126,1
,Town of VINLAND Wards 1-2,405,210,195,0
,Town of WINCHESTER Wards 1-2,492,263,228,1
,Town of WINNECONNE Ward 1-5,554,299,253,2
,Town of WOLF RIVER Wards 1-2C,198,139,59,0
,"Village of FOX CROSSING Wards 1-2,4,7,14",808,402,406,0
,"Village of FOX CROSSING Wards 3,5-6",618,320,297,1
,Village of FOX CROSSING Wards 8-10,509,214,294,1
,Village of FOX CROSSING Wards 11-13,332,126,206,0
,Village of WINNECONNE Wards 1-4,554,288,266,0
